polynomial_degree,approximation,exact_value,absolute_error,relative_error
1,2.0,2.0,0.0,0.0
2,2.6666666666666665,2.6666666666666665,0.0,0.0
3,4.0,4.0,0.0,0.0
4,6.666666666666666,6.4,0.2666666666666657,0.04166666666666652
5,12.0,10.666666666666666,1.333333333333334,0.12500000000000006
6,22.666666666666664,18.285714285714285,4.38095238095238,0.23958333333333326
